RandomSeed,MAPE,RMSE,R_2
0,0.02105579285427325,0.033822040017313745,0.6914792757022279
1,0.021090501137686037,0.030236505868865712,0.74387646852754
2,0.01828600437335854,0.02263396039595261,0.8482477735940905
3,0.02157984744455125,0.024608646728833884,0.8132437120117569
4,0.016818534028444066,0.02202638478812907,0.8536407428553157
5,0.020743733871776082,0.03026370321393182,0.7524417595587554
6,0.02007273540347028,0.023466631765589073,0.8466025874681881
7,0.020879225022199664,0.027306808807115376,0.7884961547860262
8,0.021940991753584986,0.025821499011482875,0.8222284723881575
9,0.024925825144205462,0.03346111636383068,0.6505720433095139
10,0.020309011726638106,0.02569437587351009,0.8172283644918672
11,0.015866933939034825,0.02089765168840093,0.8641035754852241
12,0.021175500566746275,0.023130131212597254,0.8480273216706157
13,0.020776708113090854,0.024444874730236345,0.8348272845479296
14,0.017110478924665547,0.03097135869866183,0.7213240422530659
15,0.016290260977338267,0.024065913560813865,0.8401616497447405
16,0.02065250435723738,0.02612014124242762,0.7903340433459952
17,0.016507906429608917,0.021708062669126515,0.8579574286557338
18,0.015527317838705727,0.020493147552875297,0.8723022060119111
19,0.023698516379500816,0.027079015601759186,0.8050764041164623
